SimulationName                                   Nitrogen    final    Clock.Today    AboveGroundLive.Wt   AboveGroundLive.Wterror    leaf.Live.Wt    leaf.Live.Wtleaferror    Stem.Live.Wt    stemerror    lai    laierror    interc    intercerror    AboveGroundLive.N   AboveGroundLive.Nerror    Leaf.Live.N    Leaf.Live.Nerror   Stem.Live.N    Stem.Live.Nerror    Leaf.Live.NConc    Stem.Live.NConc
()                                               ()    ()    ()    (g/m2)    (g/m2)    (g/m2)    (g/m2)    (g/m2)    (g/m2)    ()    ()    ()    ()    ()    ()    (g/m2)    (g/m2)    (g/m2)    (g/m2)    ()    ()
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_75    75    1    2014-05-20    637.02    77.63    119.58    18.41    502.96    72.04    3.79    1.43    0.82    *    9.37    1.05    3.82    0.4    5.42    1.32    3.22    1.07
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_150    150    0    2013-12-18    172.57    84.28    93.86    37.19    67.87    46    2.33    0.32    0.78    *    6.27    3.43    4.05    1.83    2    1.57    4.25    2.8
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_150    150    0    2014-01-17    385.78    175.31    90.32    22.04    229.42    118.56    2.19    1.42    0.87    *    10.53    4.7    3.57    0.87    5.71    3.11    3.95    2.44
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_150    150    0    2014-02-18    266.75    161.53    79.85    47.85    181.94    116.74    3.42    2.62    0.86    *    8.46    4.89    4.25    2.17    4.14    2.75    5.52    2.32
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_150    150    0    2014-03-14    500.15    132.46    206.81    42.29    293.33    91.17    3.49    1.93    0.82    *    14.3    1.32    8.79    0.37    5.51    0.97    4.35    2
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_150    150    0    2014-04-14    773.29    54.04    239.84    39.83    526.06    40.38    4.36    1.3    0.86    *    21.28    7.29    9.95    3.62    11.16    3.57    4.06    2.12
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_150    150    1    2014-05-20    1086.15    292.31    260.44    82.36    807.51    228.4    3.48    0.87    0.86    *    23.74    5.66    10.09    2.96    13.46    2.9    3.89    1.71
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_300    300    0    2013-12-18    253.49    20.48    134.04    4.75    104.32    20.18    1.89    1.59    0.8    *    9.42    0.17    5.89    0.17    3.14    0.53    4.4    3.02
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_300    300    0    2014-01-17    409.66    90.17    113.01    25.34    254.41    45.03    1.54    1.47    0.96    *    14.3    3.74    4.28    2.17    9.08    1.41    3.66    3.61
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_300    300    0    2014-02-18    334.99    21.09    112.02    25.3    222.96    32.44    1.65    1.59    0.9    *    13.85    0.92    6.4    0.34    7.45    1.19    5.85    3.34
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_300    300    0    2014-03-14    549.03    219.51    214.56    54.53    334.47    165.23    3.27    1.51    0.94    *    23.65    3.62    12.23    1.22    11.42    2.76    5.84    3.68
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_300    300    0    2014-04-14    903.78    300.86    265.28    86.52    635.47    217.91    3.15    0.59    0.97    *    34.13    8.89    13.46    4.55    20.57    4.37    5.07    3.33
Ashley_Dean_2013_Irrigation__Nil_Fertiliser_300    300    1    2014-05-20    1126.08    133.46    271.42    53.86    834.71    97.66    2.24    1.06    0.96    *    32.74    1.97    11.46    1.6    20.85    1.68    4.26    2.51
